work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Senior,Full-time,Machine Learning Engineer,USD,153040,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Analyst,USD,140000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,100000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,187000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,153000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Engineer,USD,185000,United States,In-person,United States,L,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,81000,United States,In-person,United States,L,Data Engineering
2024,Senior,Full-time,Machine Learning Engineer,USD,290000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,USD,203000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,AI Engineer,USD,142352,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,AI Engineer,USD,95325,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Analyst,USD,187000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,153000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,USD,190000,Canada,In-person,Canada,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,158500,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,240000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Contract,AI Research Scientist,EUR,88888,Germany,In-person,Germany,L,Data Science and Research
2024,Executive,Full-time,Data Science Director,EUR,106666,Spain,Remote,Spain,L,Data Science and Research
2024,Executive,Full-time,Data Science Director,EUR,106666,Spain,Remote,Spain,L,Data Science and Research
2024,Senior,Full-time,Data Engineer,USD,130500,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,96000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,USD,166000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,73100,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Machine Learning Engineer,GBP,62500,United Kingdom,In-person,United Kingdom,M,Machine Learning and AI
2024,Mid-level,Full-time,Machine Learning Engineer,GBP,50000,United Kingdom,In-person,United Kingdom,M,Machine Learning and AI
2024,Senior,Full-time,Data Analyst,USD,234000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,146000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,GBP,125000,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Data Engineer,GBP,125000,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Data Scientist,EUR,65333,Lithuania,In-person,Lithuania,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,EUR,46666,Lithuania,In-person,Lithuania,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,USD,105000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,95000,United States,Remote,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Analyst,USD,60500,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,40300,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,160000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,95000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Engineer,USD,152500,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,USD,138200,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Research Scientist,USD,164300,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,USD,104000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Analyst,USD,163700,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,109100,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,USD,130000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,100000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Machine Learning Engineer,USD,220000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,USD,200000,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Engineer,USD,115000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,95000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Analytics Engineer,USD,230000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,170000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,250000,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,180700,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,136675,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,111648,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Data Engineer,GBP,81250,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Data Engineer,GBP,81250,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Machine Learning Engineer,USD,254000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,USD,200000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Scientist,USD,161000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,133200,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,GBP,106250,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,GBP,106250,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Entry-level,Full-time,Research Engineer,USD,160000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Research Engineer,USD,140000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Machine Learning Engineer,USD,223100,United States,Remote,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Machine Learning Engineer,USD,126400,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,Analytics Engineer,USD,190000,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,136000,United States,Remote,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Strategist,USD,134400,United States,In-person,United States,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Strategist,USD,100000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Engineer,USD,246000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,170000,United States,Remote,United States,M,Data Engineering
2024,Entry-level,Full-time,Research Analyst,USD,198000,United States,Remote,United States,M,Data Science and Research
2024,Entry-level,Full-time,Research Analyst,USD,115000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,150000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,103000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,170000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,160000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Analyst,USD,175000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,117000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,85000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,79000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Analytics Engineer,USD,100000,United States,Remote,United States,M,Leadership and Management
2024,Mid-level,Full-time,Analytics Engineer,USD,75000,United States,Remote,United States,M,Leadership and Management
2024,Senior,Full-time,Data Scientist,USD,205000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,190000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,USD,331640,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,283780,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Applied Scientist,USD,222200,United States,In-person,United States,L,Data Science and Research
2024,Mid-level,Full-time,Applied Scientist,USD,136000,United States,In-person,United States,L,Data Science and Research
2024,Mid-level,Full-time,Big Data Developer,USD,117000,United States,In-person,United States,L,Leadership and Management
2024,Entry-level,Full-time,Business Intelligence Analyst,USD,99000,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Business Intelligence Analyst,USD,72000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Manager,USD,77000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Manager,USD,49900,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Analyst,USD,95000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,70000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Scientist,USD,203500,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,133000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,USD,104000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,80000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Analyst,USD,134400,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,100000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Scientist,GBP,33500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Entry-level,Full-time,Data Scientist,GBP,33500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,GBP,81250,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,GBP,56250,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,USD,64500,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,51500,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Machine Learning Engineer,USD,240200,United Kingdom,Remote,United Kingdom,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,USD,102900,United Kingdom,Remote,United Kingdom,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Analyst,USD,195600,United States,Remote,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,165500,United States,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,180400,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,138800,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,139000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science Consultant,USD,112000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science Consultant,USD,109000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,147670,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,118136,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Architect,USD,164000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,117000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,BI Developer,USD,42000,Philippines,In-person,Philippines,M,BI and Visualization
2024,Senior,Full-time,BI Developer,USD,21600,Philippines,In-person,Philippines,M,BI and Visualization
2024,Senior,Full-time,Data Scientist,USD,154000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,81536,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,139000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,GBP,28750,United Kingdom,In-person,United Kingdom,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,GBP,28750,United Kingdom,In-person,United Kingdom,M,Data Analysis
2024,Senior,Full-time,Data Engineer,USD,198000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,143000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Machine Learning Engineer,USD,340000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,USD,212000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Scientist,USD,230000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Scientist,USD,170000,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Quantitative Research Analyst,USD,51000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Lead Machine Learning Engineer,EUR,77777,Finland,Hybrid,Finland,L,Machine Learning and AI
2024,Entry-level,Full-time,ML Engineer,USD,27000,Türkiye,In-person,Türkiye,S,Machine Learning and AI
2024,Mid-level,Full-time,Data Scientist,CHF,129545,Switzerland,Hybrid,Switzerland,L,Data Science and Research
2024,Entry-level,Full-time,Machine Learning Research Engineer,CAD,80769,Canada,Hybrid,Canada,M,Data Science and Research
2024,Senior,Full-time,Business Intelligence Engineer,USD,108500,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Business Intelligence Engineer,USD,78800,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Infrastructure Engineer,USD,385000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Infrastructure Engineer,USD,200000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,USD,297000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,198000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,140000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,AI Engineer,USD,46848,Oman,In-person,Oman,M,Machine Learning and AI
2024,Entry-level,Full-time,Machine Learning Engineer,USD,130400,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Machine Learning Engineer,USD,74500,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Architect,USD,212000,Australia,In-person,Australia,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,93400,Australia,In-person,Australia,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Business Intelligence Analyst,USD,142000,Canada,In-person,Canada,M,BI and Visualization
2024,Mid-level,Full-time,Business Intelligence Analyst,USD,91300,Canada,In-person,Canada,M,BI and Visualization
2024,Senior,Full-time,Data Analytics Lead,USD,166000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Analytics Lead,USD,73100,United States,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Data Scientist,USD,133000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Scientist,USD,58400,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,204600,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,84500,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,176000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,72700,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,USD,92000,United States,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,65000,United States,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,USD,231000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,141000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,USD,162819,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,95776,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Applied Scientist,USD,222200,United States,In-person,United States,L,Data Science and Research
2024,Mid-level,Full-time,Applied Scientist,USD,136000,United States,In-person,United States,L,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,USD,138278,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,86424,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Analytics Engineer,USD,130500,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,96000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Architect,USD,175000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,117000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Engineer,USD,122100,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,75500,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Product Manager,USD,250000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Product Manager,USD,200000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Business Intelligence Manager,USD,117000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Business Intelligence Manager,USD,99600,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Data Engineer,USD,162240,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,USD,47840,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,USD,231250,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,111000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,USD,277000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,173000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Analytics Manager,USD,128000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Analytics Manager,USD,81500,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Scientist,USD,202800,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,115000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,USD,65000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,55751,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Architect,USD,165000,United States,Remote,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,150000,United States,Remote,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,AI Architect,USD,257250,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,AI Architect,USD,99750,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Architect,USD,169767,New Zealand,In-person,New Zealand,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,136420,New Zealand,In-person,New Zealand,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Developer,USD,100000,United States,In-person,United States,M,Leadership and Management
